name,rating,reviews,avg_salary,description
Afcons Infrastructure,4.2,3.1k,8.8k,Engineering & Construction | Mumbai +123 other locations
Torrent Pharmaceuticals,4.0,3.1k,10.4k,Pharma | Ahmedabad +131 other locations
Ola Electric Mobility,3.3,3.1k,9.8k,Automobile | Bengaluru +437 other locations
ESAF Small Finance Bank,3.6,3k,7.5k,Banking | Thrissur +457 other locations
IDFC FIRST Bharat,4.2,3k,5.2k,Financial Services | Chennai +441 other locations
Future Group,4.3,3k,6.4k,Retail | Mumbai +207 other locations
Square Yards,3.6,3k,9.4k,Internet | Gurugram +51 other locations
HDFC Sales,3.9,3k,8.3k,Financial Services | Mumbai +350 other locations
CMS IT Services,3.1,3k,9.4k,IT Services & Consulting | Mumbai +152 other locations
Zensar Technologies,3.7,3k,25.7k,IT Services & Consulting | Pune +29 other locations
Tata Elxsi,3.4,3k,23.7k,IT Services & Consulting | Bengaluru +30 other locations
DS Group,4.1,3k,7.4k,FMCG | Noida +285 other locations
Bharat Financial Inclusion,3.7,3k,5.2k,Financial Services | Hyderabad +503 other locations
I Process Services,3.8,3k,5.6k,Recruitment | Mumbai +405 other locations
Suzlon Group,4.0,3k,8k,Power | Pune +144 other locations
ACC,3.9,2.9k,9.1k,Building Material | Mumbai +274 other locations
Eternal Limited,3.6,2.9k,14.9k,Internet | Gurugram +218 other locations
Fujitsu,3.8,2.9k,17.7k,IT Services & Consulting | Pune +41 other locations
Indus Towers,3.6,2.9k,9.3k,Telecom | Gurugram +241 other locations
VVDN Technologies,3.6,2.9k,13.9k,IT Services & Consulting | Gurugram +49 other locations
Shoppers Stop,4.0,2.9k,6.9k,Retail | Mumbai +85 other locations
Nokia,4.0,2.9k,17k,Telecom | Bengaluru +165 other locations
Tata Electronics,3.9,2.9k,12.2k,Semiconductors | Hosur +56 other locations
IKS Health,3.6,2.9k,11.6k,Healthcare | Mumbai +31 other locations
Zepto,3.5,2.9k,10k,Internet | Bengaluru +107 other locations
Yazaki,3.9,2.9k,9.2k,Auto Components | Pune +94 other locations
Apollo Tyres,4.0,2.9k,10k,Auto Components | Chennai +179 other locations
Fiserv,2.8,2.9k,17.7k,FinTech | Pune +33 other locations
Shree Cement,3.8,2.9k,10k,Building Material | Beawar +258 other locations
Britannia,4.0,2.8k,8.5k,FMCG | Pune +306 other locations
Landmark Group,3.8,2.8k,9.5k,Retail | Bengaluru +175 other locations
Dalmia Bharat Cement,3.9,2.8k,5.3k,Building Material | Guwahati +255 other locations
UnitedHealth,4.0,2.8k,14k,Healthcare | Hyderabad +18 other locations
SRF,4.1,2.8k,9.1k,Chemicals | Bharuch +67 other locations
Blue Dart Express Ltd,3.9,2.8k,6.8k,Logistics | Mumbai +278 other locations
Kansai Nerolac Paints,3.8,2.8k,7.9k,Chemicals | Mumbai +258 other locations
Nestlé,3.8,2.8k,10k,FMCG | Gurugram +281 other locations
Exide Industries,3.4,2.7k,8.9k,Auto Components | Kolkata +199 other locations
Shell,3.9,2.7k,14.2k,Oil & Gas | Bengaluru +91 other locations
ZS,3.1,2.7k,21.5k,Management Consulting | Pune +17 other locations
Exl India,3.5,2.7k,16.8k,Logistics | New Delhi +45 other locations
Star Health & Allied Insurance,3.5,2.7k,10.3k,Insurance | Chennai +334 other locations
Flex,3.9,2.7k,15.7k,Electronics Manufacturing | Chennai +46 other locations
KPMG Global Services,3.4,2.7k,24.2k,Management Consulting | Bengaluru +38 other locations
Micro Labs,3.6,2.7k,9.9k,Pharma | Bengaluru +153 other locations
Whitehat jr,3.3,2.7k,9k,EdTech | Mumbai +48 other locations
TVS Supply Chain Solutions,3.8,2.7k,8.6k,Logistics | Chennai +154 other locations
ElasticRun,3.6,2.7k,6.5k,Logistics | Pune +389 other locations
Capita,3.5,2.7k,12.6k,BPO | Pune +32 other locations
KFintech,3.4,2.7k,11.1k,Financial Services | Hyderabad +113 other locations
Physicswallah,3.6,2.7k,8.8k,EdTech | Noida +136 other locations
G4S,4.0,2.6k,5.1k,Law Enforcement & Security | Gurugram +164 other locations
